QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,TAS,319,Sandy Bay South,502,60.92,322,39.08,824,99.76,2,0.24,826
1,TAS,193,Sassafras,35,14.29,210,85.71,245,99.59,1,0.41,246
1,TAS,196,Scamander,148,44.85,182,55.15,330,99.4,2,0.6,332
1,TAS,192,Scottsdale,314,20.26,1236,79.74,1550,99.36,10,0.64,1560
1,TAS,195,Seven Mile Beach,533,56.76,406,43.24,939,99.37,6,0.63,945
1,TAS,196,Sheffield,243,24.72,740,75.28,983,98.79,12,1.21,995
1,TAS,193,Shorewell Park,345,35.35,631,64.65,976,99.39,6,0.61,982
1,TAS,192,Sidmouth,142,33.57,281,66.43,423,99.76,1,0.24,424
1,TAS,193,Sisters Beach,110,43.48,143,56.52,253,98.83,3,1.17,256
1,TAS,193,Sisters Creek,44,35.48,80,64.52,124,100,0,0,124
1,TAS,193,Smithton,275,17.56,1291,82.44,1566,99.3,11,0.7,1577
1,TAS,195,Snug,557,50.54,545,49.46,1102,98.48,17,1.52,1119
1,TAS,193,Somerset,444,27.99,1142,72.01,1586,98.51,24,1.49,1610
1,TAS,196,Sorell,566,33.63,1117,66.37,1683,98.48,26,1.52,1709
1,TAS,195,Sorell FRANKLIN PPVC,245,42.24,335,57.76,580,97.32,16,2.68,596
1,TAS,196,Sorell LYONS PPVC,1913,35.24,3516,64.76,5429,98.92,59,1.08,5488
1,TAS,196,Sorell South,154,45.97,181,54.03,335,98.82,4,1.18,339
1,TAS,195,South Arm,356,56.87,270,43.13,626,99.68,2,0.32,628
1,TAS,319,South Hobart,845,75.45,275,24.55,1120,99.2,9,0.8,1129
1,TAS,192,South Launceston East,463,49.73,468,50.27,931,99.36,6,0.64,937
1,TAS,192,South Launceston West,267,54.27,225,45.73,492,98.99,5,1.01,497
1,TAS,193,South Riana,54,27.69,141,72.31,195,99.49,1,0.51,196
1,TAS,195,Southport,61,39.35,94,60.65,155,98.73,2,1.27,157
