QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,QLD,161,Buderim FISHER PPVC,767,30.16,1776,69.84,2543,99.22,20,0.78,2563
1,QLD,160,Buderim North,323,36.91,552,63.09,875,99.09,8,0.91,883
1,QLD,160,Buderim South,350,39.59,534,60.41,884,99.21,7,0.79,891
1,QLD,160,Buderim South FAIRFAX PPVC,1363,33.37,2722,66.63,4085,99.32,28,0.68,4113
1,QLD,161,Buderim South FISHER PPVC,787,29.99,1837,70.01,2624,99.02,26,0.98,2650
1,QLD,160,Buderim West,459,45.67,546,54.33,1005,98.53,15,1.47,1020
1,QLD,163,Bulimba,1140,49.83,1148,50.17,2288,99.09,21,0.91,2309
1,QLD,163,Bulimba Heights,687,57.3,512,42.7,1199,99.67,4,0.33,1203
1,QLD,311,Bullyard,56,14.18,339,85.82,395,99.5,2,0.5,397
1,QLD,166,Bundaberg Central,276,23.88,880,76.12,1156,98.72,15,1.28,1171
1,QLD,311,Bundaberg Central FLYNN PPVC,310,14.21,1871,85.79,2181,99.82,4,0.18,2185
1,QLD,166,Bundaberg Central HINKLER PPVC,1842,17.01,8988,82.99,10830,99.49,56,0.51,10886
1,QLD,166,Bundaberg East,262,20.61,1009,79.39,1271,98.91,14,1.09,1285
1,QLD,311,Bundaberg FLYNN PPVC,246,14.33,1471,85.67,1717,99.88,2,0.12,1719
1,QLD,166,Bundaberg HINKLER PPVC,1527,16.62,7661,83.38,9188,99.44,52,0.56,9240
1,QLD,166,Bundaberg North,173,21.95,615,78.05,788,98.5,12,1.5,800
1,QLD,311,Bundaberg North West (Flynn),61,15.93,322,84.07,383,98.21,7,1.79,390
1,QLD,166,Bundaberg North West (Hinkler),134,19.91,539,80.09,673,98.83,8,1.17,681
1,QLD,166,Bundaberg South,204,26.02,580,73.98,784,99.75,2,0.25,786
1,QLD,166,Bundaberg West,257,29.54,613,70.46,870,98.75,11,1.25,881
1,QLD,172,Bundall,367,32.14,775,67.86,1142,97.52,29,2.48,1171
1,QLD,304,Bundamba,364,34.77,683,65.23,1047,99.05,10,0.95,1057
1,QLD,304,Bundamba South,539,34.14,1040,65.86,1579,98.69,21,1.31,1600
1,QLD,252,Bunya DICKSON PPVC,3137,35.2,5774,64.8,8911,99.4,54,0.6,8965
1,QLD,169,Bunya LILLEY PPVC,320,38.37,514,61.63,834,99.05,8,0.95,842
1,QLD,177,Bunya RYAN PPVC,659,39.51,1009,60.49,1668,99.64,6,0.36,1674
1,QLD,163,Buranda West (Griffith),326,69.51,143,30.49,469,99.79,1,0.21,470
1,QLD,173,Buranda West (Moreton),183,68.03,86,31.97,269,98.53,4,1.47,273
1,QLD,165,Burdell,309,19.24,1297,80.76,1606,99.26,12,0.74,1618
