2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-19T17:33:48 Cycle:105353d2-ec22-4dab-bfed-428bd67db69c Created:2023-10-19T17:33:42 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,SA,185,Kidman Park,516,31.6,1117,68.4,1633,98.91,18,1.09,1651
1,SA,185,Kidman Park North,203,44.32,255,55.68,458,99.35,3,0.65,461
1,SA,179,Kilburn,682,48.13,735,51.87,1417,98.47,22,1.53,1439
1,SA,179,Kilkenny (Adelaide),376,46.42,434,53.58,810,98.18,15,1.82,825
1,SA,185,Kilkenny (Hindmarsh),259,45.36,312,54.64,571,98.62,8,1.38,579
1,SA,179,Kilkenny North,462,40.53,678,59.47,1140,98.62,16,1.38,1156
1,SA,183,Kimba,42,8.28,465,91.72,507,99.02,5,0.98,512
1,SA,188,Kingscote,178,31.62,385,68.38,563,98.6,8,1.4,571
1,SA,188,Kingscote PPVC,406,31.64,877,68.36,1283,99.23,10,0.77,1293
1,SA,180,Kingston SE,184,16.28,946,83.72,1130,98.86,13,1.14,1143
1,SA,182,Kingswood,556,62.68,331,37.32,887,99.11,8,0.89,895
1,SA,183,Kirton Point,248,29.18,602,70.82,850,97.93,18,2.07,868
1,SA,190,Klemzig,645,51.44,609,48.56,1254,99.05,12,0.95,1266
1,SA,180,Kongorong,15,10.56,127,89.44,142,99.3,1,0.7,143
1,SA,180,Lameroo,61,14.77,352,85.23,413,99.28,3,0.72,416
1,SA,188,Langhorne Creek,110,30.39,252,69.61,362,99.72,1,0.28,363
1,SA,185,Largs Bay,852,46.74,971,53.26,1823,98.59,26,1.41,1849
1,SA,185,Largs Bay West,490,52.8,438,47.2,928,98.51,14,1.49,942
1,SA,183,Laura,68,15.35,375,84.65,443,99.33,3,0.67,446
1,SA,183,Leigh Creek,40,47.06,45,52.94,85,100,0,0,85
1,SA,188,Lenswood,141,39.17,219,60.83,360,97.83,8,2.17,368
1,SA,190,Linden Park,529,50.05,528,49.95,1057,98.6,15,1.4,1072
1,SA,188,Littlehampton,554,45.52,663,54.48,1217,99.02,12,0.98,1229
1,SA,188,Lobethal,402,34.15,775,65.85,1177,99.07,11,0.93,1188
1,SA,183,Lochiel,26,20.63,100,79.37,126,98.44,2,1.56,128
