QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,WA,312,Cue,17,18.48,75,81.52,92,100,0,0,92
1,WA,243,Cunderdin,57,15,323,85,380,99.48,2,0.52,382
1,WA,242,Currambine,619,36.01,1100,63.99,1719,98.85,20,1.15,1739
1,WA,242,Currambine MOORE PPVC,2395,27.51,6312,72.49,8707,99.38,54,0.62,8761
1,WA,244,Currambine PEARCE PPVC,238,27.74,620,72.26,858,99.19,7,0.81,865
1,WA,242,Currambine West,164,31.91,350,68.09,514,98.47,8,1.53,522
1,WA,238,Dalkeith,857,44.8,1056,55.2,1913,99.53,9,0.47,1922
1,WA,312,Dalwallinu,81,21.77,291,78.23,372,99.73,1,0.27,373
1,WA,239,Dalyellup,675,31.78,1449,68.22,2124,98.65,29,1.35,2153
1,WA,239,Dalyellup South,357,31.12,790,68.88,1147,98.45,18,1.55,1165
1,WA,312,Dampier PPVC,586,26.09,1660,73.91,2246,99.34,15,0.66,2261
1,WA,312,Dandaragan,46,18.4,204,81.6,250,100,0,0,250
1,WA,244,Darch,699,37.99,1141,62.01,1840,98.71,24,1.29,1864
1,WA,244,Darch South,135,38.79,213,61.21,348,99.43,2,0.57,350
1,WA,239,Dardanup,167,20,668,80,835,99.52,4,0.48,839
1,WA,243,Darkan,23,11.98,169,88.02,192,98.97,2,1.03,194
1,WA,305,Darlington,789,59.32,541,40.68,1330,99.25,10,0.75,1340
1,WA,236,Dawesville,175,26.32,490,73.68,665,98.66,9,1.34,674
1,WA,236,Dawesville West,276,29.65,655,70.35,931,98.94,10,1.06,941
1,WA,305,Dayton,469,45.71,557,54.29,1026,99.52,5,0.48,1031
1,WA,312,Denham,138,36.9,236,63.1,374,98.94,4,1.06,378
1,WA,243,Denmark,1091,54.04,928,45.96,2019,99.02,20,0.98,2039
1,WA,312,Derby,378,49.03,393,50.97,771,99.1,7,0.9,778
1,WA,245,Dianella,588,46.05,689,53.95,1277,99.07,12,0.93,1289
1,WA,245,Dianella East,437,50.64,426,49.36,863,98.63,12,1.37,875
1,WA,237,Dianella Heights,501,42.82,669,57.18,1170,99.83,2,0.17,1172
1,WA,237,Dianella North,588,39.73,892,60.27,1480,99.26,11,0.74,1491
1,WA,245,Dianella South,454,52.91,404,47.09,858,98.28,15,1.72,873
1,WA,237,Dianella St Andrew's,326,30.27,751,69.73,1077,98.81,13,1.19,1090
1,WA,237,Dianella West,566,42.78,757,57.22,1323,98.95,14,1.05,1337
1,WA,312,Dongara,264,16.86,1302,83.14,1566,99.05,15,0.95,1581
1,WA,239,Donnybrook,430,24.23,1345,75.77,1775,98.94,19,1.06,1794
1,WA,238,Doubleview,1584,59.62,1073,40.38,2657,98.77,33,1.23,2690
1,WA,238,Doubleview North,204,61.26,129,38.74,333,98.81,4,1.19,337
1,WA,312,Dowerin,33,12.69,227,87.31,260,100,0,0,260
1,WA,312,Drummond Cove,175,32.41,365,67.59,540,98.72,7,1.28,547
1,WA,236,Dudley Park,270,28.75,669,71.25,939,98.74,12,1.26,951
1,WA,243,Dumbleyung,23,12.71,158,87.29,181,100,0,0,181
1,WA,242,Duncraig,775,49.05,805,50.95,1580,98.87,18,1.13,1598
1,WA,242,Duncraig East,600,48.78,630,51.22,1230,98.95,13,1.05,1243
1,WA,242,Duncraig North,739,48.27,792,51.73,1531,98.84,18,1.16,1549
1,WA,242,Duncraig PPVC,4116,33.81,8058,66.19,12174,99.55,55,0.45,12229
1,WA,242,Duncraig South,560,46.09,655,53.91,1215,99.18,10,0.82,1225
1,WA,239,Dunsborough,774,45.32,934,54.68,1708,98.61,24,1.39,1732
1,WA,239,Dunsborough South,477,55.08,389,44.92,866,98.86,10,1.14,876
1,WA,243,Duranillin,6,6.9,81,93.1,87,97.75,2,2.25,89
1,WA,236,Dwellingup,79,25,237,75,316,98.75,4,1.25,320
1,WA,239,Eagle Bay PPVC,465,43.79,597,56.21,1062,99.44,6,0.56,1068
1,WA,247,East Cannington,875,43.95,1116,56.05,1991,99.01,20,0.99,2011
1,WA,240,East Fremantle North,833,63.83,472,36.17,1305,98.94,14,1.06,1319
1,WA,245,East Perth,837,54.21,707,45.79,1544,99.1,14,0.9,1558
1,WA,247,East Victoria Park,1041,61.49,652,38.51,1693,99.3,12,0.7,1705
1,WA,247,East Victoria Park South,1182,63.93,667,36.07,1849,99.41,11,0.59,1860
1,WA,239,Eaton,195,25.76,562,74.24,757,98.95,8,1.05,765
1,WA,239,Eaton East,332,26.16,937,73.84,1269,98.75,16,1.25,1285
1,WA,239,Eaton North,238,28.92,585,71.08,823,99.04,8,0.96,831
1,WA,235,EAV Brand PPVC,0,0,0,0,0,0,0,0,0
1,WA,317,EAV Burt PPVC,0,0,0,0,0,0,0,0,0
1,WA,236,EAV Canning PPVC,0,0,0,0,0,0,0,0,0
1,WA,237,EAV Cowan PPVC,0,0,0,0,0,0,0,0,0
1,WA,238,EAV Curtin PPVC,0,0,0,0,0,0,0,0,0
1,WA,312,EAV Durack PPVC,0,0,0,0,0,0,0,0,0
1,WA,239,EAV Forrest PPVC,0,0,0,0,0,0,0,0,0
1,WA,240,EAV Fremantle PPVC,0,0,0,0,0,0,0,0,0
1,WA,305,EAV Hasluck PPVC,0,0,0,0,0,0,0,0,0
1,WA,242,EAV Moore PPVC,0,0,0,0,0,0,0,0,0
1,WA,243,EAV O'Connor PPVC,0,0,0,0,0,0,0,0,0
1,WA,244,EAV Pearce PPVC,0,0,0,0,0,0,0,0,0
1,WA,245,EAV Perth PPVC,0,0,0,0,0,0,0,0,0
1,WA,247,EAV Swan PPVC,0,0,0,0,0,0,0,0,0
1,WA,248,EAV Tangney PPVC,0,0,0,0,0,0,0,0,0
1,WA,245,Eden Hill,748,48.51,794,51.49,1542,99.04,15,0.96,1557
1,WA,242,Edgewater,722,43.47,939,56.53,1661,98.93,18,1.07,1679
1,WA,243,Elleker,107,31.75,230,68.25,337,99.12,3,0.88,340
1,WA,305,Ellenbrook,361,38.65,573,61.35,934,99.15,8,0.85,942
1,WA,305,Ellenbrook Central,565,38.65,897,61.35,1462,98.85,17,1.15,1479
1,WA,312,Ellenbrook DURACK PPVC,158,16.41,805,83.59,963,99.59,4,0.41,967
1,WA,305,Ellenbrook East,386,32.3,809,67.7,1195,99.17,10,0.83,1205
1,WA,305,Ellenbrook HASLUCK PPVC,3094,26.5,8582,73.5,11676,99.45,64,0.55,11740
1,WA,305,Ellenbrook North,549,37.3,923,62.7,1472,99.39,9,0.61,1481
1,WA,305,Ellenbrook South,413,34.71,777,65.29,1190,98.43,19,1.57,1209
1,WA,305,Ellenbrook West,517,34.81,968,65.19,1485,99.13,13,0.87,1498
1,WA,245,Embleton,514,47.46,569,52.54,1083,98.1,21,1.9,1104
1,WA,243,Emu Point,88,34.38,168,65.63,256,99.22,2,0.78,258
1,WA,312,Eneabba,18,15.52,98,84.48,116,99.15,1,0.85,117
1,WA,243,Esperance,304,32.58,629,67.42,933,99.47,5,0.53,938
1,WA,243,Esperance PPVC,793,17.4,3764,82.6,4557,99.37,29,0.63,4586
1,WA,312,Exmouth,397,35.01,737,64.99,1134,99.13,10,0.87,1144
1,WA,312,Exmouth PPVC,0,0,0,0,0,0,0,0,0
1,WA,236,Falcon PPVC,2274,21.16,8474,78.84,10748,99.46,58,0.54,10806
1,WA,239,Ferguson,58,35.8,104,64.2,162,98.18,3,1.82,165
1,WA,248,Ferndale,224,41.03,322,58.97,546,99.27,4,0.73,550
1,WA,248,Ferndale East,259,37.27,436,62.73,695,99,7,1,702
1,WA,312,Fitzroy Crossing,86,60.14,57,39.86,143,100,0,0,143
1,WA,312,Fitzroy Crossing PPVC,138,80.23,34,19.77,172,100,0,0,172
1,WA,238,Floreat,853,53.92,729,46.08,1582,99.56,7,0.44,1589
1,WA,238,Floreat East,472,54.95,387,45.05,859,98.96,9,1.04,868
1,WA,317,Forrestdale,163,29.16,396,70.84,559,98.42,9,1.58,568
1,WA,247,Forrestfield,597,31.34,1308,68.66,1905,99.06,18,0.94,1923
1,WA,247,Forrestfield North,625,32.17,1318,67.83,1943,98.68,26,1.32,1969
1,WA,247,Forrestfield West,277,37.69,458,62.31,735,98.39,12,1.61,747
1,WA,243,Frankland,38,19.59,156,80.41,194,99.49,1,0.51,195
1,WA,238,Fremantle CURTIN PPVC,675,54.66,560,45.34,1235,99.76,3,0.24,1238
1,WA,240,Fremantle East,1391,75.03,463,24.97,1854,99.2,15,0.8,1869
1,WA,240,Fremantle FREMANTLE PPVC,5376,60.66,3486,39.34,8862,99.24,68,0.76,8930
1,WA,240,Fremantle South,1316,76.51,404,23.49,1720,99.19,14,0.81,1734
1,WA,248,Fremantle TANGNEY PPVC,594,50.6,580,49.4,1174,98.99,12,1.01,1186
1,WA,236,Furnissdale,98,18.32,437,81.68,535,99.07,5,0.93,540
1,WA,312,Geraldton,507,35.45,923,64.55,1430,98.42,23,1.58,1453
1,WA,312,Geraldton PPVC,2789,20.18,11029,79.82,13818,99.44,78,0.56,13896
1,WA,243,Gibson,8,12.5,56,87.5,64,96.97,2,3.03,66
1,WA,305,Gidgegannup,268,28.51,672,71.49,940,98.95,10,1.05,950
1,WA,312,Gingin,133,16.12,692,83.88,825,99.52,4,0.48,829
